id,tipo,fase,luna,ubicacion,altitud_msnm,mes,sombra_pct,temp_media,humedad,prec_total_mm,rec1,rec2
ALM-0699,almacigos,vivero_establecimiento,menguante,Patia,1516,noviembre,25,17.5,82.6,60.1,"Aplicar mezcla Urea:DAP (3:2) equivalente a NPK 20-10-10, 20 g/planta, dos meses después de la siembra, para estimular raíces y hojas verdaderas.","Solución nutritiva 0,05% NPK cada 15 días; evitar 17-6-18 en edades ≤2 meses, solo aplicar este fertilizante en cafetales en fase de producción."
FERT-0478,fertilizacion_sin_analisis,cosecha_postcosecha,menguante,Timbio,1580,marzo,24,18.1,95.0,193.2,Aplicar compost + fuente potásica (K₂O) 200 g/planta para recuperar la fertilidad del suelo tras cosecha.,Interpolar dosis entre hitos; fraccionar cuando la lluvia es alta.
ALM-0514,almacigos,vivero_establecimiento,menguante,Morales,1800,enero,60,15.9,77.9,63.3,"Aplicar mezcla Urea:DAP (3:2) equivalente a NPK 20-10-10, 20 g/planta, dos meses después de la siembra, para estimular raíces y hojas verdaderas.",12–15 g/bolsa/mes (fraccionado quincenal) con NPK + Ca/Mg si hay deficiencias.
BRO-0976,broca,cosecha_postcosecha,,Almaguer,1372,julio,29,20.0,89.0,115.2,Realizar repase completo entre 21–25 días desde el último pase.,Recolectar todos los frutos del suelo y remanentes (cero frutos remanentes).
ALM-0289,almacigos,vivero_establecimiento,,Piendamo,1829,febrero,43,16.2,95.0,158.1,Uso de Micorrizas arbusculares 10–20 g/bolsa en germinadores y almácigos favorece la absorción de fósforo y otros nutrientes.,Aplicar Fosfato diamónico (DAP) 2 g/bolsa.
ALM-0321,almacigos,vivero_establecimiento,menguante,Sucre,1229,octubre,17,18.7,95.0,141.7,"Aplicar mezcla Urea:DAP (3:2) equivalente a NPK 20-10-10, 20 g/planta, dos meses después de la siembra, para estimular raíces y hojas verdaderas.",12–15 g/bolsa/mes (fraccionado quincenal) con NPK + Ca/Mg si hay deficiencias.
FERT-0756,fertilizacion_sin_analisis,floracion_llenado,menguante,Bolivar,1478,octubre,28,17.7,95.0,129.7,Agregar cal dolomítica o cal agrícola hasta 150 g/planta/año al menos dos meses antes del trasplante o durante corrección del suelo; no mezclar con fertilizantes.,Interpolar dosis entre hitos; fraccionar cuando la lluvia es alta.
ALM-0487,almacigos,vivero_establecimiento,menguante,Almaguer,1388,junio,21,19.1,94.6,119.8,Uso de Micorrizas arbusculares 10–20 g/bolsa en germinadores y almácigos favorece la absorción de fósforo y otros nutrientes.,Aplicar Fosfato diamónico (DAP) 2 g/bolsa.
BRO-0821,broca,cosecha_postcosecha,,Popayan,1511,febrero,36,18.2,95.0,133.0,Realizar repase completo entre 21–25 días desde el último pase.,Recolectar todos los frutos del suelo y remanentes (cero frutos remanentes).
BRO-0508,broca,cosecha_postcosecha,,Silvia,1840,septiembre,25,15.6,95.0,223.9,Realizar repase completo entre 21–25 días desde el último pase.,Recolectar todos los frutos del suelo y remanentes (cero frutos remanentes).
BRO-0851,broca,cosecha_postcosecha,,Popayan,1820,enero,44,14.9,81.0,79.1,Realizar repase completo entre 21–25 días desde el último pase.,Recolectar todos los frutos del suelo y remanentes (cero frutos remanentes).
BRO-0200,broca,cosecha_postcosecha,,Jambalo,1562,marzo,47,17.9,95.0,215.4,Recolectar todos los frutos del suelo y remanentes (cero frutos remanentes).,Aplicar Beauveria bassiana (1×10^8 conidios/ml) 500 ml/planta cada 30 días con HR>70%.
FERT-0973,fertilizacion_sin_analisis,cosecha_postcosecha,menguante,Totoro,1513,febrero,26,18.2,91.5,107.7,Aplicar compost + fuente potásica (K₂O) 200 g/planta para recuperar la fertilidad del suelo tras cosecha.,Interpolar dosis entre hitos; fraccionar cuando la lluvia es alta.
BRO-0194,broca,cosecha_postcosecha,,Silvia,1826,julio,30,15.8,95.0,160.8,Realizar repase completo entre 21–25 días desde el último pase.,Recolectar todos los frutos del suelo y remanentes (cero frutos remanentes).
ALM-0079,almacigos,vivero_establecimiento,creciente,Totoro,1690,febrero,27,17.2,94.0,117.4,Uso de Micorrizas arbusculares 10–20 g/bolsa en germinadores y almácigos favorece la absorción de fósforo y otros nutrientes.,Aplicar Fosfato diamónico (DAP) 2 g/bolsa.
ALM-0910,almacigos,vivero_establecimiento,menguante,Sucre,1679,agosto,21,16.1,95.0,184.9,"Aplicar mezcla Urea:DAP (3:2) equivalente a NPK 20-10-10, 20 g/planta, dos meses después de la siembra, para estimular raíces y hojas verdaderas.",12–15 g/bolsa/mes (fraccionado quincenal) con NPK + Ca/Mg si hay deficiencias.
FERT-0986,fertilizacion_sin_analisis,cosecha_postcosecha,menguante,Jambalo,1559,noviembre,17,17.6,77.4,80.4,Aplicar compost + fuente potásica (K₂O) 200 g/planta para recuperar la fertilidad del suelo tras cosecha.,Interpolar dosis entre hitos; fraccionar cuando la lluvia es alta.
FERT-0448,fertilizacion_sin_analisis,cosecha_postcosecha,menguante,Popayan,1456,abril,39,19.8,95.0,212.6,"Plan anual NPK potásico (25-4-24, 26-4-22 o 23-4-20-3Mg): 150–300 kg N/ha-año, 30–60 kg P₂O₅/ha-año, 150–300 kg K₂O/ha-año en 2–3 aplicaciones (≈200–300 g/planta/año).",Interpolar dosis entre hitos; fraccionar cuando la lluvia es alta.
FERT-0579,fertilizacion_sin_analisis,floracion_llenado,menguante,Jambalo,1578,mayo,29,19.3,95.0,188.4,Agregar cal dolomítica o cal agrícola hasta 150 g/planta/año al menos dos meses antes del trasplante o durante corrección del suelo; no mezclar con fertilizantes.,6 MDS: 20 g/planta de urea; ajustar según vigor y precipitación.
ALM-0882,almacigos,vivero_establecimiento,menguante,Totoro,1679,marzo,27,17.4,95.0,203.9,"Aplicar mezcla Urea:DAP (3:2) equivalente a NPK 20-10-10, 20 g/planta, dos meses después de la siembra, para estimular raíces y hojas verdaderas.",12–15 g/bolsa/mes (fraccionado quincenal) con NPK + Ca/Mg si hay deficiencias.
BRO-0685,broca,cosecha_postcosecha,,Argelia,1259,abril,38,20.6,95.0,178.8,Realizar repase completo entre 21–25 días desde el último pase.,Recolectar todos los frutos del suelo y remanentes (cero frutos remanentes).
ALM-0527,almacigos,vivero_establecimiento,menguante,Totoro,1341,febrero,30,19.2,95.0,96.9,Uso de Micorrizas arbusculares 10–20 g/bolsa en germinadores y almácigos favorece la absorción de fósforo y otros nutrientes.,Aplicar Fosfato diamónico (DAP) 2 g/bolsa.
ALM-0054,almacigos,vivero_establecimiento,menguante,Santander de Quilichao,1760,abril,27,17.4,95.0,208.9,"Aplicar mezcla Urea:DAP (3:2) equivalente a NPK 20-10-10, 20 g/planta, dos meses después de la siembra, para estimular raíces y hojas verdaderas.","Solución nutritiva 0,05% NPK cada 15 días; evitar 17-6-18 en edades ≤2 meses, solo aplicar este fertilizante en cafetales en fase de producción."
FERT-0060,fertilizacion_sin_analisis,floracion_llenado,nueva,Caldono,1570,noviembre,21,16.1,68.3,40.0,"Fertilizar con NPK alto en K (25-4-24, 26-4-22 o 23-4-20-3Mg) 1000–1200 kg/ha/año en 2–3 aplicaciones (≈200–300 g/planta/año).",Interpolar dosis entre hitos; fraccionar cuando la lluvia es alta.
BRO-0827,broca,cosecha_postcosecha,,Inza,1679,junio,40,17.7,95.0,168.6,Realizar repase completo entre 21–25 días desde el último pase.,Recolectar todos los frutos del suelo y remanentes (cero frutos remanentes).
FERT-0463,fertilizacion_sin_analisis,floracion_llenado,menguante,Buenos Aires,1322,julio,46,20.0,95.0,144.9,Agregar cal dolomítica o cal agrícola hasta 150 g/planta/año al menos dos meses antes del trasplante o durante corrección del suelo; no mezclar con fertilizantes.,Interpolar dosis entre hitos; fraccionar cuando la lluvia es alta.
ALM-0061,almacigos,vivero_establecimiento,menguante,Cajibio,1789,noviembre,35,15.3,95.0,136.8,"Aplicar mezcla Urea:DAP (3:2) equivalente a NPK 20-10-10, 20 g/planta, dos meses después de la siembra, para estimular raíces y hojas verdaderas.",Ajustar sombra a mantener 30–40% y mejorar ventilación del vivero.
FERT-0462,fertilizacion_sin_analisis,floracion_llenado,creciente,Almaguer,1512,enero,19,17.0,75.7,40.0,"Fertilizar con NPK alto en K (25-4-24, 26-4-22 o 23-4-20-3Mg) 1000–1200 kg/ha/año en 2–3 aplicaciones (≈200–300 g/planta/año).",Interpolar dosis entre hitos; fraccionar cuando la lluvia es alta.
BRO-0246,broca,cosecha_postcosecha,,Silvia,2099,mayo,26,15.0,95.0,219.4,Realizar repase completo entre 21–25 días desde el último pase.,Recolectar todos los frutos del suelo y remanentes (cero frutos remanentes).
ALM-0987,almacigos,vivero_establecimiento,menguante,Morales,1237,julio,29,20.3,91.2,104.2,"Aplicar mezcla Urea:DAP (3:2) equivalente a NPK 20-10-10, 20 g/planta, dos meses después de la siembra, para estimular raíces y hojas verdaderas.",Ajustar sombra a 30–40% y mejorar ventilación del vivero.
BRO-0103,broca,cosecha_postcosecha,,Timbio,1432,mayo,34,20.2,95.0,160.1,Realizar repase completo entre 21–25 días desde el último pase.,Recolectar todos los frutos del suelo y remanentes (cero frutos remanentes).
ALM-0423,almacigos,vivero_establecimiento,menguante,Buenos Aires,2008,abril,44,15.8,95.0,245.8,"Aplicar mezcla Urea:DAP (3:2) equivalente a NPK 20-10-10, 20 g/planta, dos meses después de la siembra, para estimular raíces y hojas verdaderas.",Ajustar sombra a 30–40% y mejorar ventilación del vivero.
ALM-0268,almacigos,vivero_establecimiento,llena,Jambalo,1847,julio,27,16.8,95.0,199.7,Uso de Micorrizas arbusculares 10–20 g/bolsa en germinadores y almácigos favorece la absorción de fósforo y otros nutrientes.,Aplicar Fosfato diamónico (DAP) 2 g/bolsa.
FERT-0827,fertilizacion_sin_analisis,floracion_llenado,menguante,Caldono,1600,abril,40,18.2,95.0,191.3,Agregar cal dolomítica o cal agrícola hasta 150 g/planta/año al menos dos meses antes del trasplante o durante corrección del suelo; no mezclar con fertilizantes.,Interpolar dosis entre hitos; fraccionar cuando la lluvia es alta.
FERT-0339,fertilizacion_sin_analisis,floracion_llenado,creciente,Paez,1681,marzo,26,17.9,95.0,189.8,"Fertilizar con NPK alto en K (25-4-24, 26-4-22 o 23-4-20-3Mg) 1000–1200 kg/ha/año en 2–3 aplicaciones (≈200–300 g/planta/año).",Interpolar dosis entre hitos; fraccionar cuando la lluvia es alta.
ALM-0580,almacigos,vivero_establecimiento,menguante,Silvia,1715,agosto,29,17.1,95.0,181.4,"Aplicar mezcla Urea:DAP (3:2) equivalente a NPK 20-10-10, 20 g/planta, dos meses después de la siembra, para estimular raíces y hojas verdaderas.","Solución nutritiva 0,05% NPK cada 15 días; evitar 17-6-18 en edades ≤2 meses, solo aplicar este fertilizante en cafetales en fase de producción."
FERT-0120,fertilizacion_sin_analisis,cosecha_postcosecha,menguante,Purace,1282,noviembre,31,18.4,68.8,40.0,Aplicar compost + fuente potásica (K₂O) 200 g/planta para recuperar la fertilidad del suelo tras cosecha.,Interpolar dosis entre hitos; fraccionar cuando la lluvia es alta.
BRO-0459,broca,cosecha_postcosecha,,Piendamo,1716,febrero,47,16.2,95.0,131.5,Realizar repase completo entre 21–25 días desde el último pase.,Recolectar todos los frutos del suelo y remanentes (cero frutos remanentes).
BRO-0174,broca,cosecha_postcosecha,,Inza,2076,septiembre,23,13.6,95.0,246.8,Recolectar todos los frutos del suelo y remanentes (cero frutos remanentes).,Aplicar Beauveria bassiana (1×10^8 conidios/ml) 500 ml/planta cada 30 días con HR>70%.
BRO-0591,broca,cosecha_postcosecha,,Purace,1742,septiembre,50,15.9,95.0,183.1,Realizar repase completo entre 21–25 días desde el último pase.,Recolectar todos los frutos del suelo y remanentes (cero frutos remanentes).
ALM-0040,almacigos,vivero_establecimiento,menguante,Morales,1841,enero,27,16.5,80.3,73.4,"Aplicar mezcla Urea:DAP (3:2) equivalente a NPK 20-10-10, 20 g/planta, dos meses después de la siembra, para estimular raíces y hojas verdaderas.",Ajustar sombra a 30–40% y mejorar ventilación del vivero.
ALM-0783,almacigos,vivero_establecimiento,menguante,Santander de Quilichao,1488,agosto,26,18.5,95.0,228.8,"Aplicar mezcla Urea:DAP (3:2) equivalente a NPK 20-10-10, 20 g/planta, dos meses después de la siembra, para estimular raíces y hojas verdaderas.",12–15 g/bolsa/mes (fraccionado quincenal) con NPK + Ca/Mg si hay deficiencias.
BRO-0579,broca,cosecha_postcosecha,,Santander de Quilichao,1724,agosto,28,17.2,95.0,188.3,Realizar repase completo entre 21–25 días desde el último pase.,Recolectar todos los frutos del suelo y remanentes (cero frutos remanentes).
FERT-0231,fertilizacion_sin_analisis,cosecha_postcosecha,menguante,Popayan,1455,marzo,32,17.8,95.0,168.0,Aplicar compost + fuente potásica (K₂O) 200 g/planta para recuperar la fertilidad del suelo tras cosecha.,Interpolar dosis entre hitos; fraccionar cuando la lluvia es alta.
ALM-0664,almacigos,vivero_establecimiento,menguante,Totoro,1370,febrero,30,19.1,86.6,99.2,"Aplicar mezcla Urea:DAP (3:2) equivalente a NPK 20-10-10, 20 g/planta, dos meses después de la siembra, para estimular raíces y hojas verdaderas.",Ajustar sombra a mantener 30–40% y mejorar ventilación del vivero.
BRO-0616,broca,cosecha_postcosecha,,Morales,1852,diciembre,44,14.7,70.8,47.6,Recolectar todos los frutos del suelo y remanentes (cero frutos remanentes).,Aplicar Beauveria bassiana (1×10^8 conidios/ml) 500 ml/planta cada 30 días con HR>70%.
ALM-0807,almacigos,vivero_establecimiento,menguante,Rosas,1200,septiembre,43,20.3,95.0,168.8,"Aplicar mezcla Urea:DAP (3:2) equivalente a NPK 20-10-10, 20 g/planta, dos meses después de la siembra, para estimular raíces y hojas verdaderas.",12–15 g/bolsa/mes (fraccionado quincenal) con NPK + Ca/Mg si hay deficiencias.
ALM-0907,almacigos,vivero_establecimiento,menguante,Sucre,1516,noviembre,40,17.3,78.0,54.4,"Aplicar mezcla Urea:DAP (3:2) equivalente a NPK 20-10-10, 20 g/planta, dos meses después de la siembra, para estimular raíces y hojas verdaderas.","Solución nutritiva 0,05% NPK cada 15 días; evitar 17-6-18 en edades ≤2 meses, solo aplicar este fertilizante en cafetales en fase de producción."
ALM-0503,almacigos,vivero_establecimiento,,Purace,1545,junio,22,19.5,94.1,121.1,Uso de Micorrizas arbusculares 10–20 g/bolsa en germinadores y almácigos favorece la absorción de fósforo y otros nutrientes.,Aplicar Fosfato diamónico (DAP) 2 g/bolsa.
BRO-0240,broca,cosecha_postcosecha,,Jambalo,1695,junio,47,17.8,95.0,173.0,Recolectar todos los frutos del suelo y remanentes (cero frutos remanentes).,Ajustar calendario de cosecha para no dejar >5% de frutos sobremaduros.
